Network,Site_Code,Lon,Lat,Texture,Topo,Site_Info,Corr_Val,RMSE_Val,MinSM,MaxSM,Heuristic,Vert_Shift,Amplitude,Horiz_Shift,Porosity,Res_SM,Drainage,n,Class,Zone,Easting,Northing
ARS,SJ13,-85.144806,41.439046,6,1,"St. Joseph's, IN (ARS)",0.926,6.278,10.7,44.9,0.742432749,0.029,0.028,302.27,33.64,7.85,0.323,450,LPC,16T,654988,4589158
ARS,SJ15,-85.091779,41.451048,3,1,"St. Joseph's, IN (ARS)",-1,-1,-1,40.1,-0.9756691,0.016,0.022,251.39,32.72,15.91,0.399,450,LPC,16T,659388,4590587
ARS,WG01,-110.14294,31.72044,6,2,"Walnut Gulch, AZ (ARS)",0.809,3,2.5,30.8,0.703,0.027,0.027,283.6,15.75,3.42,0.488,450,IACJ,12R,581199,3509768
ARS,WG02,-110.0911,31.7238,6,2,"Walnut Gulch, AZ (ARS)",0.845,3.5,2.5,42.7,0.758,0.013,0.005,331.2,31.92,5.83,0.134,500,IACJ,12R,586108,3510180
ARS,WG03,-110.09869,31.69683,6,2,"Walnut Gulch, AZ (ARS)",0.883,1.5,2.5,20.6,0.8,0.022,0.015,252.3,15.41,2.49,0.259,450,IACJ,12R,585414,3507185
ARS,WG04,-110.08492,31.70487,6,2,"Walnut Gulch, AZ (ARS)",0.848,2.4,2.5,30.1,0.761,0.016,0.013,263.3,20.65,2.28,0.23,500,IACJ,12R,586711,3508087
ARS,WG05,-110.07712,31.6761,6,1,"Walnut Gulch, AZ (ARS)",0.891,4.1,2.5,41.9,0.787,0.026,0.014,252.1,23.33,3.53,0.214,450,IACJ,12R,587477,3504904
ARS,WG06,-110.0434,31.72201,6,2,"Walnut Gulch, AZ (ARS)",0.863,1.3,2.5,22.8,0.799,0.039,0.004,269.4,12.46,2.5,0.294,500,IACJ,12R,590629,3510021
ARS,WG07,-110.0403,31.69886,6,2,"Walnut Gulch, AZ (ARS)",0.901,1.3,2.5,21.1,0.831,0.041,0.008,276,18.85,2.79,0.149,450,IACJ,12R,590945,3507457
ARS,WG08,-110.01556,31.68613,6,2,"Walnut Gulch, AZ (ARS)",0.879,0.9,2.5,22.1,0.833,0.045,0,226.2,18.48,2.77,0.116,450,IACJ,12R,593303,3506067
